English Terms,中文术语,中文定义,
Chief Operating Officer,首席营运官,是公司团体里负责监督管理每日活动的高阶官员。COO是企业组织中最高层的成员之一，监测每日的公司运作，并直接报告给首席执行官。在某些公司中COO会同时兼任总裁，但通常COO还是以兼任常务或资深副总裁的情况居多。,
Chinese Wall,长城,指证券行各部门严格分工保密，防止企业顾问部门取得的内幕资料涉漏到投资交易部门,
Churning,挤油交易、反复买卖,证券经纪通过为客户进行过多买卖而增加佣金的不道德行为,
Class Action,同级诉讼,指一名人士代表一组人士出庭。有关诉讼的判决适用于同组(同级)的所有人士,
Classical Economics,古典经济学,古典经济学指18及19世纪一批经济学家的研究工作。他们发表了有关市场及市场经济运作的理论，研究主要围绕经济增长的动态。古典经济学强调经济自由，并主张自由贸易及自由竞争等概念,
Classified Shares,分级股票,将公司的股本分为多个等级的普通股，一般称为A股及B股,
Clawback ,追回利益、市场回落,在特殊情况下追回以往给与的金钱或利益；总体市场或股价回落。,
Clean Balance Sheet,低负债资产负债表,指一家公司的资产负债表内的债务很低，甚至无债务,
Clean Price,纯价格,不含应计利息的债券报价,
Clearing,结算,一家机构担任中介机构，核对买方和卖方指示的过程,
Clearing Fee,结算费用,结算机构就向投资公司提供的服务收取的费用,
Clearing House,结算行,对证券或衍生工具交易各方履行责任的公司,
Close Position,平仓,对消原有的多头或空头,
Closed-End Investment,定额投资,投资公司发售一个主动管理证券投资组合的固定数量股份。这些股份与普通股一样在市场进行买卖,
Closing,收盘、交易结束, 交易时段结束。报章报道的是收盘价,
Closing Bell,收盘铃,标志交易时段结束的铃声,
Collateral,抵押品,作为贷款或其他信贷抵押的物业或资产。抵押品在违约时可被没收,
Collective Fund,集体基金,结合多名人士及机构的免税资产，组成多元化投资组合的投资工具,
Commercial,商业,指任何参与生产、运送或销售商品的参与方或机构,
Commercial Bank,商业银行,提供存款及贷款服务的金融机构,
Commercial Mortgage Backed Security (CMBS),商业抵押作担保的证券　,与抵押担保证券相似，但以商业房地产抵押贷款，而不是住宅房地产抵押贷款为担保,
Commercial Paper,商业票据,企业发行的无抵押、短期债务，经常用来筹集应收账款及库存的资金，利率一般低于当时市场利率,
Commission,佣金,代理人就安排购买或出售证券或房地产而收取的费用。佣金必须公平及合理，考虑到交易的所有因素。不同经纪行收取的佣金存在很大的差异,
Commission House,佣金行,为客户买入及卖出期货合约的经纪行,
Commodity,商品,任何在交易所或现货市场交易的重要货品,
Commodity Futures Trading Commission (CFTC),商品期货交易委员会,根据美国1974年商品期货交易委员会法成立的美国联邦机构，旨在确保期货市场的公开及高效运作。委员会共有五名由总统委任的期货市场委员，并须获得参议院的批准,
Competitive Bid,竞标,承销商向发行人提交保密标书，发行人委聘价格及合约条款最吸引的承销商,
Compound Annual Growth Rate (CAGR),复合年均增长率,一项投资在特定时期内的年度增长率，计算方法为总增长率百分比的n方根，n相等于有关时期内的年数。公式为：(现有价值/基础价值)^(1/年数) - 1.,
Concession,销售报酬,销售团就承销证券收取的报酬(以每股或每债券计算),
Concession Agreement,特许协议,政府给与一家企业的权力，协议中列明公司在当地运作需要遵守的规则,
Conglomerate ,综合企业,集合多个独立业务线的企业,
Consumer Confidence Index (CCI) ,消费者信心指数,美国会议委员会(Conference Board)进行的消费者信息调查，评估消费者对近期经济的乐观及悲观水平,
Consumer Credit,消费信贷,一名人士因购买货品或服务而引起的债务,
Consumer Price Index (CPI),消费物价指数,衡量消费货品及服务的价格变动，例如汽油、食品、汽车等,
Conversion Premium,转换溢价,可转换证券的价格高于可转换成股票当时市场价格的金额,
Conversion Price,转换价格,可转换证券可转换成为普通股的每股价格,
Convertible Bond ,可转换债券,在有效期内特定时间可转换成为预定数量公司股票的债券,
Convertible Debenture,可转换公司信用债券,可转换成为其他证券的公司信用债券,
Convertible Preferred Stock,可转换优先股,持有人有权选择转换成为普通股的优先股,
Convertible Subordinated Note,可转换次级票据,可转换成为普通股(可转换)，等级低于其他贷款(次级)的短期债务证券(票据),
Convertibles,可转换证券,可转换成为普通股的证券，一般为债券或优先股,
Conveyance,地产让与证书,将房地产的权益从一方转与另一方的书面文件，例如契据或租约等,
Contingency,偶然事故,正在发生、仍未解决的经济事故(一般为负面事件),
Corporate Bond,企业债券,由一家企业发行的债务证券,
Corporate Cannibalism,企业自我竞争,企业的新产品造成自我竞争，损害自身的市场份额,
Corporate Finance,企业融资,与企业及其资金有关的任何金融或货币活动,
Corporate Governance,企业治理,一家企业所有权益方之间的关系，包括股东、董事及管理层等，原则根据企业章程、附则、正式政策及法规,
Corporate Tax,公司税,因应公司利润征收的税项，不同水平利润采用不同的税率,
Corporation,公司、企业,最常见的商业机构形式。机构的总值分为一定数量的股票，每份股票代表一个单位的拥有权。公司是持续存在的实体，拥有者只需承担有限的责任,
Cost Basis,成本基础,扣除佣金或其他开支后的购买价格。成本基础可在出售证券时用作计算资本收益或损失,
Cost of Capital,资本成本,一项资本预算计划要求的最低回报率。资本成本可包括债务成本及股本成本,
Cost of Equity,股本成本,公司权益方要求的回报率，传统上采用股息资本模型计算：,
Cost of Funds,资金成本,贷款的利率,
Cost of Goods Sold (COGS),已售商品成本,一家公司赚取收入的产品或货品的成本。有时称为销售成本,
Cost Synergy,成本协同效益,在合并的情况下，成本协同效益指两家公司在联合后，通过互补长短而能节省的营运开支,
Counterparty Risk,交易对手风险,合约对方不履行合约责任的风险,
Country Risk,国家风险,一个国家不能履行财务承诺的风险,
Coupon,息票,债券在发行时确定的利率，息票一般每半年支付一次,
Coupon Bond,有息票债券,附有息票的债务，每半年支付利息一次,
Covenant,契约,正式债券协议中的条文，承诺将会或不会进行某些行动,
Coverage Initiated,纳入研究范围,证券行或研究分析员发表对一种股票的首次研究分析,
Credit Default Swap,信贷违约掉期,一种转移交易方定息产品信贷风险的掉期安排,
Credit Derivative,信贷衍生工具,通过非公开磋商达成的双边合约，用以控制信贷风险。信贷衍生工具包括远期合约、掉期、期权等价格取决于经济代理人(私人投资者或政府)信贷风险的金融资产,
Credit Enhancement,加强信贷措施,公司尝试改善债务或信用质量的措施,
Credit Card,信用卡,让使用者可通过借贷购买货品的工具。信用卡是美国消费者购买消费品及服务最普遍的方法之一,
Credit Cliff,信用悬崖,行业俚语，指评级触发事件或财务契约等条款可能加剧公司信用恶化的情况，这可能对公司的流动现金或业务造成重大压力,
Credit Crunch,紧缩信贷,难以取得投资资金的经济环境。银行及投资者对向企业借贷有所顾虑，因而推高债务产品的价格,
